Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Cilp,18.632745902762597,9.455637587540394,3.5089027897658007,4.127071471315744e-5,5.507708793997341e-4,TRUE
Bpifa2,18.632745902762597,9.455637587540394,3.5089027897658007,4.127071471315744e-5,5.507708793997341e-4,TRUE
Ces2c,19.34923361185459,9.451105236914346,3.5120315568721328,4.215130663879989e-5,5.583794337233883e-4,TRUE
Vmn2r58,23.72681187830408,9.44416084234269,3.480057689578888,3.7227019293977705e-5,5.072678415845059e-4,TRUE
Bpifb4,17.89412680216944,9.436174878458571,3.531463450439758,4.758910533918805e-5,6.18499650881354e-4,TRUE
Tex52,17.89412680216944,9.436174878458571,3.531463450439758,4.758910533918805e-5,6.18499650881354e-4,TRUE
Neu4,17.910864771474287,9.434203241941509,3.5290148816732634,4.7431923028181164e-5,6.171429005686721e-4,TRUE
Hoxc11,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Chn2,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Lrrn2,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Lhx5,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Tmem52b,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Hsd11b2,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Acrv1,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Ubxn10,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Mfsd6l,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Shisa3,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Or8d6,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Rit2,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Zfp987,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
