Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm8369,26.30642198711454,0.9109856584238145,1.7265417214915812,0.008792435755360742,0.043402857987415666,TRUE
Snai3,10.708967915577684,0.909749364040422,1.7339115394306228,0.005658885695278295,0.03179018518899578,TRUE
H2-T24,9.795011017823,0.9097480438272008,1.73430667441659,0.005741772908729856,0.032120105783674475,TRUE
Rhcg,18.406627599466457,0.9087836695978692,1.732583016171437,0.0060034098962115905,0.03315591347553247,TRUE
Zbtb32,8.538747976055136,0.9087083350127809,1.7315355559951404,0.005787955883102761,0.03220079007982178,TRUE
P2rx3,12.189912905184993,0.9075479517688309,1.7176932840942967,0.008430674655188264,0.041834522181741614,TRUE
Dlec1,17.467122737618094,0.9073905388155976,1.717739734857598,0.00824661019756135,0.04155441301469598,TRUE
Efcab1,12.627028443851327,0.9073607350778102,1.7286274755480744,0.005922995886636683,0.032785419660048006,TRUE
Pacsin1,28.11468036432397,0.9073460666420252,1.7113135995254483,0.008311954997908044,0.041743973438247324,TRUE
Caln1,31.551772541315415,0.9072551286861896,1.709484760649275,0.008812209922573496,0.0434897061336014,TRUE
Mctp2,31.730880462565395,0.9067102125007712,1.7096838835209902,0.00839346302224835,0.041790761188119724,TRUE
Slc7a9,14.739585917196745,0.9061646570146373,1.7263432914665364,0.006242605423538447,0.03410152105383664,TRUE
Elovl3,14.739585917196745,0.9061646570146373,1.7263432914665364,0.006242605423538447,0.03410152105383664,TRUE
Fxyd2,14.739585917196745,0.9061646570146373,1.7263432914665364,0.006242605423538447,0.03410152105383664,TRUE
Rpsa-ps11,14.739585917196745,0.9061646570146373,1.7263432914665364,0.006242605423538447,0.03410152105383664,TRUE
Fbxw10,14.739585917196745,0.9061646570146373,1.7263432914665364,0.006242605423538447,0.03410152105383664,TRUE
Gm21940,15.472811595593585,0.9061020659723703,1.7265200130240388,0.006185348278948594,0.03387926413816858,TRUE
Gm47014,15.472811595593585,0.9061020659723703,1.7265200130240388,0.006185348278948594,0.03387926413816858,TRUE
Cldn11,14.736543700207987,0.9060310853835487,1.7260371346173,0.006244735239864184,0.03410152105383664,TRUE
Dthd1,14.736543700207987,0.9060310853835487,1.7260371346173,0.006244735239864184,0.03410152105383664,TRUE
Pde4c,36.70369682118936,0.9058773229908059,1.706296646064421,0.00886460955404745,0.04372666543071192,TRUE
Ciita,24.86265972453792,0.9050987257937294,1.7124614090688868,0.00936136805948938,0.04542427328720115,TRUE
Kif27,24.205684659891944,0.9049673358779855,1.7059019523110537,0.00841175726191506,0.041790761188119724,TRUE
Gm7642,11.176471739474831,0.9037758414757022,1.7208360453348828,0.00631080056840402,0.03438696604800037,TRUE
Aqp4,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Hemgn,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Afm,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Kcnj8,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
C8a,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Or5d35,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Or51g1,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Krt8,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Xkr4,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Sv2b,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Sftpb,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Ctsll3,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Vmn1r211,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Gm5592,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Gm7347,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Or1j13,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Gm8356,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Vmn1r200,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Gm18679,19.035925773315498,0.9033493443263926,1.720386354493132,0.00661327767933718,0.03559746201323114,TRUE
Ccdc166,14.861031372269595,0.9029317200886442,1.7182959928627513,0.005991558548575821,0.033112131106236634,TRUE
1700057G04Rik,23.73860998619438,0.90198388400715,1.6982525064042473,0.009012396985206768,0.04402014035659529,TRUE
Mslnl,10.611826311758131,0.9018041504998039,1.7040577686847713,0.009059541807691827,0.04413151985119641,TRUE
Mei1,15.490329546118636,0.9007744956754614,1.7140011259854817,0.006402640815588033,0.03482085097355889,TRUE
Mylk3,22.035035570169814,0.9001515005518446,1.6943071258036873,0.00890669377553894,0.04384397264658678,TRUE
Gm15066,14.966715483990557,0.8997637231230797,1.6995512382781055,0.00910501462217123,0.044331373684072466,TRUE
Npas2,14.286575726113224,0.899556494351802,1.699037033550098,0.009107925703460477,0.04433472353041549,TRUE
Slc30a10,42.271396490995635,0.8993518118756698,1.6927636156780252,0.009550827604144876,0.04618626452702747,TRUE
Chrna5,11.918913038276951,0.898133347936967,1.7075523176475484,0.006272068487360647,0.034222670818996825,TRUE
Slc26a1,23.4188974619613,0.8979442242241935,1.6958847903578222,0.010024406673579423,0.04763324810369179,TRUE
St8sia2,23.511480419400566,0.8977066929202346,1.6951116173708027,0.009651320709835433,0.04653682033758415,TRUE
Zap70,16.278282342420184,0.8971223081866856,1.6938243247378038,0.00943952453094947,0.04574785849835365,TRUE
Col14a1,14.872509228443427,0.8963077640635647,1.6924787578843792,0.009644293729880677,0.0465141837617921,TRUE
Krt5,14.872509228443427,0.8963077640635647,1.6924787578843792,0.009644293729880677,0.0465141837617921,TRUE
Vmn1r228,22.69701633067299,0.8955476238560687,1.6898031786626686,0.010398162499341003,0.049105033086516134,TRUE
Rps4l,12.879134974402303,0.8954151128774238,1.70125840075104,0.006191373973613691,0.03389365115448198,TRUE
Fabp12,14.750930464305277,0.8944499961979689,1.7000791375448563,0.006693824354954926,0.03596307626909108,TRUE
Pcare,14.750930464305277,0.8944499961979689,1.7000791375448563,0.006693824354954926,0.03596307626909108,TRUE
Cacna2d3,34.80559792298024,0.8943945684446951,1.6810494013469712,0.009506103124243366,0.0459922888420149,TRUE
Syt9,18.484159221376192,0.8940931338717182,1.686677383965051,0.00967541396192561,0.04659666279707376,TRUE
Gm19410,18.40067647455424,0.8939716412095291,1.686722993493902,0.010059928701844951,0.04776154006892243,TRUE
Esrrb,14.014662568919677,0.893623070642786,1.6980009920333652,0.006789080358300028,0.03605437339154805,TRUE
Cblc,14.014662568919677,0.893623070642786,1.6980009920333652,0.006789080358300028,0.03605437339154805,TRUE
Arhgap40,14.017704785908435,0.8935073246512915,1.6978107725636717,0.006786615260395395,0.03605437339154805,TRUE
Gm5541,9.889101863582164,0.8928371050441121,1.6956258117419878,0.006403424241248376,0.03482085097355889,TRUE
Tbx5,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
