Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Rxfp2,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Osm,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Kprp,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Csf2rb2,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Vmn2r12,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Or4d2,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Kcnj11,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Gm18303,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Gm7933,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Bend2,19.757806904603807,9.516031388788193,3.6370189460078923,6.129441106162472e-5,4.1744287052620626e-4,TRUE
Or5w19,1029.6457337532358,9.51015547326528,1.0432326313928828,8.258846341300721e-20,8.047750228817075e-17,TRUE
Catsperb,26.145084867891175,9.508933888304043,3.1108799723817064,3.391106509912205e-6,3.761873665208162e-5,TRUE
Myrip,19.0708727049266,9.48800457107507,3.411169769869637,2.281074089983432e-5,1.8618866521927173e-4,TRUE
Or7g30,29.221429559521894,9.487912031304159,3.378531057016352,1.4506475981497638e-5,1.2771675510851605e-4,TRUE
Vmn1r32,29.221429559521894,9.487912031304159,3.378531057016352,1.4506475981497638e-5,1.2771675510851605e-4,TRUE
Wdr49,19.06783048793784,9.487041132009248,3.4107102955961928,2.2826590101894637e-5,1.8622858723116385e-4,TRUE
Mos,15.27489121849879,9.484884944402015,3.644897115457212,5.9448423352252496e-5,4.0806510039003184e-4,TRUE
Ctla2a,295.00888077663296,9.482661567021385,1.0479388686296605,2.5134232538406906e-19,2.1867679959576094e-16,TRUE
