Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Pgr15l,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Cd3d,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Cck,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Scn7a,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Tespa1,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Mc3r,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Serpina12,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Fscb,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Tmem174,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or1aa2,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Krt82,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Usp26,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or1e1f,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Vmn2r51,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Dsc3,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or2y8,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Csn2,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or10a49,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Crygd,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gjd2,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or1e30,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Mcpt9,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
A230072I06Rik,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gcnt7,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Krtap9-5,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm15114,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm15544,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm12420,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm11984,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm15765,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Naip3,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or13f5,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Vmn2r77,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm16506,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm8857,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Vmn1r50,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Pramel42,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
